 ros2 run motor_control_ros2 delta_arm_manager_node

[INFO] [1783232066.814016293] [delta_arm_manager]: 配置加载完成: kp=0.75 kd=0.25 max_vel=10.00 max_accel=50.0 p_gain=25.0 landing_torque=-0.00 gravity_comp=0.800 tilt=[arm_tilt_motor down=1.600]
[INFO] [1783232066.815448319] [delta_arm_manager]: delta_arm_manager 启动，控制频率 200.0 Hz，电机: [arm_delta_motor_1,arm_delta_motor_2, arm_delta_motor_3]
[INFO] [1783232066.815467448] [delta_arm_manager]: 状态：初始化 → 进入软着陆流程
[INFO] [1783232066.818210621] [delta_arm_manager]: 俯仰零点锁定：原始角 0.421 rad，此后 ready=0.000 down=1.600 均为相对角
[INFO] [1783232066.820538786] [delta_arm_manager]: 初始化 → 软着陆：施加向下力矩 -0.00 Nm，阻尼 kd=0.050
[INFO] [1783232066.820586777] [delta_arm_manager]: LANDING_CSV,t,cmd_tq,landing_kd,m1_pos,m1_vel,m2_pos,m2_vel,m3_pos,m3_vel,tilt_pos,tilt_vel
[INFO] [1783232066.825590622] [delta_arm_manager]: LANDING_CSV,0.0050,-0.000,0.050,0.7299,-0.043,0.4060,-0.058,0.4734,-0.031,0.4213,-0.074
[INFO] [1783232066.830595929] [delta_arm_manager]: LANDING_CSV,0.0100,-0.000,0.050,0.7299,-0.043,0.4060,-0.058,0.4734,-0.031,0.4213,-0.074
[INFO] [1783232066.835600451] [delta_arm_manager]: LANDING_CSV,0.0150,-0.000,0.050,0.7299,-0.043,0.4060,-0.043,0.4734,0.019,0.4214,0.031
[INFO] [1783232066.840564256] [delta_arm_manager]: LANDING_CSV,0.0200,-0.000,0.050,0.7299,-0.043,0.4060,-0.043,0.4734,0.019,0.4214,0.031
[INFO] [1783232066.845549585] [delta_arm_manager]: LANDING_CSV,0.0250,-0.000,0.050,0.7299,-0.043,0.4060,-0.043,0.4734,0.019,0.4214,0.031
[INFO] [1783232066.850654402] [delta_arm_manager]: LANDING_CSV,0.0300,-0.000,0.050,0.7299,-0.043,0.4060,-0.043,0.4734,0.019,0.4214,0.031
[INFO] [1783232066.855686415] [delta_arm_manager]: LANDING_CSV,0.0350,-0.000,0.050,0.7299,-0.039,0.4061,0.004,0.4734,0.019,0.4214,0.008
[INFO] [1783232066.860621322] [delta_arm_manager]: LANDING_CSV,0.0400,-0.000,0.050,0.7299,-0.039,0.4061,0.004,0.4734,0.019,0.4214,0.008
[INFO] [1783232066.865720599] [delta_arm_manager]: LANDING_CSV,0.0451,-0.000,0.050,0.7299,-0.039,0.4061,0.004,0.4734,0.019,0.4214,0.008
[INFO] [1783232066.870651621] [delta_arm_manager]: LANDING_CSV,0.0500,-0.000,0.050,0.7299,0.012,0.4061,-0.016,0.4734,-0.008,0.4214,-0.004
[INFO] [1783232066.875645557] [delta_arm_manager]: LANDING_CSV,0.0550,-0.000,0.050,0.7299,0.012,0.4061,-0.016,0.4734,-0.008,0.4214,-0.004
[INFO] [1783232066.880646179] [delta_arm_manager]: LANDING_CSV,0.0600,-0.000,0.050,0.7299,0.012,0.4061,-0.016,0.4734,-0.008,0.4214,-0.004
[INFO] [1783232066.885629848] [delta_arm_manager]: LANDING_CSV,0.0650,-0.000,0.050,0.7299,-0.058,0.4060,-0.062,0.4734,0.000,0.4214,0.008
[INFO] [1783232066.890570146] [delta_arm_manager]: LANDING_CSV,0.0700,-0.000,0.050,0.7299,-0.058,0.4060,-0.062,0.4734,0.000,0.4214,0.008
[INFO] [1783232066.895611724] [delta_arm_manager]: LANDING_CSV,0.0750,-0.000,0.050,0.7299,-0.058,0.4060,-0.062,0.4734,0.000,0.4214,0.008
[INFO] [1783232066.900598692] [delta_arm_manager]: LANDING_CSV,0.0800,-0.000,0.050,0.7299,-0.039,0.4061,-0.004,0.4734,-0.004,0.4214,-0.004
[INFO] [1783232066.905668961] [delta_arm_manager]: LANDING_CSV,0.0850,-0.000,0.050,0.7299,-0.039,0.4061,-0.004,0.4734,-0.004,0.4214,-0.004
[INFO] [1783232066.910668994] [delta_arm_manager]: LANDING_CSV,0.0900,-0.000,0.050,0.7299,-0.039,0.4061,-0.004,0.4734,-0.004,0.4214,-0.004
[INFO] [1783232066.915662193] [delta_arm_manager]: LANDING_CSV,0.0950,-0.000,0.050,0.7299,-0.050,0.4061,-0.012,0.4734,0.004,0.4214,0.000
[INFO] [1783232066.920601944] [delta_arm_manager]: LANDING_CSV,0.1000,-0.000,0.050,0.7299,-0.050,0.4061,-0.012,0.4734,0.004,0.4214,0.000
[INFO] [1783232066.925572819] [delta_arm_manager]: LANDING_CSV,0.1050,-0.000,0.050,0.7299,-0.050,0.4061,-0.012,0.4734,0.004,0.4214,0.000
[INFO] [1783232066.930575043] [delta_arm_manager]: LANDING_CSV,0.1100,-0.000,0.050,0.7299,-0.050,0.4061,-0.012,0.4734,0.004,0.4214,0.000
[INFO] [1783232066.935561028] [delta_arm_manager]: LANDING_CSV,0.1150,-0.000,0.050,0.7299,0.000,0.4061,0.000,0.4734,0.000,0.4214,0.000
[INFO] [1783232066.940605843] [delta_arm_manager]: LANDING_CSV,0.1200,-0.000,0.050,0.7299,0.000,0.4061,0.000,0.4734,0.000,0.4214,0.000
[INFO] [1783232066.945643102] [delta_arm_manager]: LANDING_CSV,0.1250,-0.000,0.050,0.7299,0.000,0.4061,0.000,0.4734,0.000,0.4214,0.000
[INFO] [1783232066.950562604] [delta_arm_manager]: LANDING_CSV,0.1300,-0.000,0.050,0.7299,0.000,0.4060,-0.062,0.4734,0.000,0.4214,-0.016
[INFO] [1783232066.955572245] [delta_arm_manager]: LANDING_CSV,0.1350,-0.000,0.050,0.7299,0.000,0.4060,-0.062,0.4734,0.000,0.4214,-0.016
[INFO] [1783232066.960581627] [delta_arm_manager]: LANDING_CSV,0.1400,-0.000,0.050,0.7299,0.000,0.4060,-0.062,0.4734,0.000,0.4214,-0.016
[INFO] [1783232066.965582688] [delta_arm_manager]: LANDING_CSV,0.1450,-0.000,0.050,0.7299,0.000,0.4061,-0.012,0.4734,0.000,0.4214,-0.027
[INFO] [1783232066.970562212] [delta_arm_manager]: LANDING_CSV,0.1500,-0.000,0.050,0.7299,0.000,0.4061,-0.012,0.4734,0.000,0.4214,-0.027
[INFO] [1783232066.975588909] [delta_arm_manager]: LANDING_CSV,0.1550,-0.000,0.050,0.7299,0.000,0.4061,-0.012,0.4734,0.000,0.4214,-0.027
[INFO] [1783232066.980573796] [delta_arm_manager]: LANDING_CSV,0.1600,-0.000,0.050,0.7299,0.000,0.4061,0.000,0.4734,-0.047,0.4214,-0.027
[INFO] [1783232066.985684203] [delta_arm_manager]: LANDING_CSV,0.1651,-0.000,0.050,0.7299,0.000,0.4061,0.000,0.4734,-0.047,0.4214,-0.027
[INFO] [1783232066.990698372] [delta_arm_manager]: LANDING_CSV,0.1701,-0.000,0.050,0.7299,0.000,0.4061,0.000,0.4734,-0.047,0.4214,-0.027
[INFO] [1783232066.995607832] [delta_arm_manager]: LANDING_CSV,0.1750,-0.000,0.050,0.7299,0.016,0.4061,-0.004,0.4734,0.000,0.4213,-0.070
